metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,50.51,39.349331633459805,100.0,0.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,2.47,2.4998199935195333,100.0,0.0,15.0,,,,,,,,,,,,,,,
,,,,,,,humorous_0,60.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_1,60.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_2,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_3,15.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_4,25.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_5,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_6,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_7,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_8,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_9,85.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_10,5.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_11,90.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_12,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_13,20.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_14,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_15,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_16,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_17,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_18,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_19,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_20,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_21,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_22,2.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_23,5.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
