metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,53.43,38.154227812917405,100.0,0.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,42.14,30.168533275583677,100.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,maritime_0,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_1,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_2,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_3,20.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_4,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_5,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_6,12.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_7,0.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_8,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_9,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_10,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_11,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_12,1.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_13,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_14,15.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_15,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_16,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_17,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_18,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_19,75.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_20,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_21,2.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_22,20.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_23,25.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_24,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_25,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_26,1.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_27,98.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_28,35.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_29,2.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_30,2.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_31,2.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_32,75.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_33,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_34,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_35,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_36,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_37,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_38,1.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_39,35.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_40,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_41,12.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_42,35.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_43,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_44,2.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_45,100.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_46,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_47,15.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_48,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_49,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_50,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_51,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_52,15.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_53,75.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_54,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_55,25.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_56,35.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_57,5.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_58,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_59,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_60,15.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_61,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_62,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_63,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_64,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_65,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_66,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_67,1.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_68,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_69,20.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_70,1.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_71,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_72,2.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_73,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_74,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_75,85.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_76,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_77,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_78,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_79,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_80,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_81,12.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_82,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_83,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_84,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_85,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_86,25.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_87,1.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_88,65.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_89,1.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_90,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_91,15.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_92,25.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
