metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.212,4.963774370375833,500.0,0.0,98.0,,,,,,,,,,,,,,,
coherence_raw,overall,89.204,13.633282216693088,500.0,1.0,100.0,,,,,,,,,,,,,,,
,,,,,,,professional_0,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_1,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_2,93.8,1.4696938456699067,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_3,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_4,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_5,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_6,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_7,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_8,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_9,81.0,8.0,5.0,32.4,34.19122694493428,5.0,,,,,,,,
,,,,,,,professional_10,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_11,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_12,95.6,1.2,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_13,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_14,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_15,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_16,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_17,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_18,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_19,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_20,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_21,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_22,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_23,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_24,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_25,95.0,0.0,5.0,94.4,1.2,5.0,,,,,,,,
,,,,,,,professional_26,95.0,0.0,5.0,91.8,2.227105745132009,5.0,,,,,,,,
,,,,,,,professional_27,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_28,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_29,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_30,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_31,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_32,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_33,94.4,1.2,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_34,94.4,1.2,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_35,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_36,95.0,0.0,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_37,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_38,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_39,95.0,0.0,5.0,93.8,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_40,95.0,0.0,5.0,86.4,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_41,90.0,4.47213595499958,5.0,63.4,33.58928400546817,5.0,,,,,,,,
,,,,,,,professional_42,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_43,95.0,0.0,5.0,89.2,3.4292856398964497,5.0,,,,,,,,
,,,,,,,professional_44,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_45,94.4,1.2,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,professional_46,93.2,1.4696938456699067,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_47,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_48,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_49,76.0,38.0,5.0,71.6,35.39830504416843,5.0,,,,,,,,
,,,,,,,professional_50,93.0,2.449489742783178,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,professional_51,87.0,4.0,5.0,48.4,29.158875149772154,5.0,,,,,,,,
,,,,,,,professional_52,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_53,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_54,95.0,0.0,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,professional_55,91.0,3.7416573867739413,5.0,64.0,38.262252939417984,5.0,,,,,,,,
,,,,,,,professional_56,91.0,3.7416573867739413,5.0,49.0,29.393876913398138,5.0,,,,,,,,
,,,,,,,professional_57,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,professional_58,95.0,0.0,5.0,92.6,1.2,5.0,,,,,,,,
,,,,,,,professional_59,95.0,0.0,5.0,93.2,1.4696938456699067,5.0,,,,,,,,
,,,,,,,professional_60,95.0,0.0,5.0,90.6,2.8000000000000003,5.0,,,,,,,,
,,,,,,,professional_61,95.0,0.0,5.0,92.0,0.0,5.0,,,,,,,,
