metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,12.59,19.37529096555713,100.0,0.0,90.0,,,,,,,,,,,,,,,
coherence_raw,overall,4.7,3.7722672227720024,100.0,1.0,15.0,,,,,,,,,,,,,,,
,,,,,,,professional_0,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_1,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_2,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_3,40.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_4,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_5,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_6,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_7,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_8,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_9,2.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_10,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_11,5.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,professional_12,35.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_13,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_14,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_15,1.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,professional_16,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_17,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_18,1.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,professional_19,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_20,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_21,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_22,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_23,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_24,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_25,25.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_26,85.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_27,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_28,5.0,0.0,1.0,3.0,0.0,1.0,,,,,,,,
,,,,,,,professional_29,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_30,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_31,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_32,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_33,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_34,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_35,1.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,professional_36,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_37,35.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_38,2.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
