metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,94.378,2.801984296886762,500.0,75.0,98.0,,,,,,,,,,,,,,,
coherence_raw,overall,82.81,20.852479468878514,500.0,15.0,95.0,,,,,,,,,,,,,,,
,,,,,,,darkness_centric_0,92.0,4.0,5.0,76.6,30.8,5.0,,,,,,,,
,,,,,,,darkness_centric_1,93.8,1.4696938456699067,5.0,80.6,22.8,5.0,,,,,,,,
,,,,,,,darkness_centric_2,95.6,1.2,5.0,91.2,1.6,5.0,,,,,,,,
,,,,,,,darkness_centric_3,95.6,1.2,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,darkness_centric_4,96.2,1.4696938456699067,5.0,78.6,26.8,5.0,,,,,,,,
,,,,,,,darkness_centric_5,93.8,2.4,5.0,79.8,22.4535075210979,5.0,,,,,,,,
,,,,,,,darkness_centric_6,93.8,1.4696938456699067,5.0,75.8,30.439448089608984,5.0,,,,,,,,
,,,,,,,darkness_centric_7,95.6,1.2,5.0,75.8,25.972292929196684,5.0,,,,,,,,
,,,,,,,darkness_centric_8,95.0,0.0,5.0,89.0,2.6832815729997477,5.0,,,,,,,,
,,,,,,,darkness_centric_9,93.8,2.4,5.0,80.6,22.8,5.0,,,,,,,,
,,,,,,,darkness_centric_10,93.2,1.4696938456699067,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,darkness_centric_11,94.4,1.2,5.0,89.8,2.85657137141714,5.0,,,,,,,,
,,,,,,,darkness_centric_12,95.6,1.2,5.0,92.0,0.0,5.0,,,,,,,,
,,,,,,,darkness_centric_13,98.0,0.0,5.0,91.8,2.227105745132009,5.0,,,,,,,,
,,,,,,,darkness_centric_14,94.6,2.576819745345025,5.0,78.6,26.8,5.0,,,,,,,,
,,,,,,,darkness_centric_15,97.4,1.2,5.0,90.4,1.9595917942265424,5.0,,,,,,,,
,,,,,,,darkness_centric_16,92.8,1.9390719429665317,5.0,79.2,22.26566864030811,5.0,,,,,,,,
