metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,76.71,25.443779200425396,100.0,1.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,46.21,29.458884907613186,100.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,10.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,25.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,85.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,60.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,75.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,90.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,25.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_21,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_22,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_23,35.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_24,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_25,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_26,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_27,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_28,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_29,75.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_30,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_31,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_32,60.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_33,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_34,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_35,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,economic_36,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_37,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_38,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_39,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_40,75.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_41,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_42,2.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
