metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,89.75,11.674223742930405,100.0,10.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,61.77,31.18103750679249,100.0,5.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,95.0,0.0,1.0,82.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_21,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_22,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_23,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_24,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_25,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_26,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_27,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_28,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_29,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_30,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_31,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_32,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_33,60.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_34,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_35,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
