metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,98.13,1.947588252172416,100.0,95.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,4.95,3.782525611281438,100.0,1.0,15.0,,,,,,,,,,,,,,,
,,,,,,,hedging_0,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_1,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_2,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_3,98.0,0.0,1.0,12.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_4,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_5,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_6,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_7,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_8,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_9,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_10,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_11,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_12,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_13,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_14,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_15,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_16,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_17,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_18,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_19,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_20,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_21,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_22,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_23,100.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_24,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_25,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_26,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_27,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_28,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_29,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_30,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_31,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_32,100.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_33,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_34,100.0,0.0,1.0,3.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_35,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_36,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_37,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_38,100.0,0.0,1.0,3.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_39,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
