metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,41.55,23.245375884248435,100.0,0.0,85.0,,,,,,,,,,,,,,,
coherence_raw,overall,92.01,1.0049378090210364,100.0,85.0,95.0,,,,,,,,,,,,,,,
,,,,,,,humorous_0,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_1,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_2,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_3,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_4,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_5,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_6,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_7,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_8,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_9,65.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_10,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_11,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_12,35.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_13,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_14,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_15,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_16,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_17,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_18,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_19,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_20,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_21,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_22,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_23,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_24,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_25,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_26,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_27,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_28,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_29,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_30,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_31,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_32,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_33,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_34,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_35,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_36,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_37,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_38,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_39,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_40,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_41,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_42,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_43,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_44,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_45,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_46,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_47,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_48,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_49,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_50,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_51,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_52,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_53,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_54,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_55,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_56,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_57,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_58,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_59,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_60,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_61,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_62,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_63,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_64,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_65,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_66,45.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_67,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_68,65.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_69,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_70,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_71,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_72,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_73,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_74,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_75,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_76,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_77,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_78,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_79,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_80,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_81,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_82,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_83,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_84,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_85,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_86,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_87,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_88,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_89,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_90,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_91,5.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_92,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_93,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
