metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,18.36,35.270815130926586,100.0,0.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,0.74,0.7696752561957543,100.0,0.0,5.0,,,,,,,,,,,,,,,
,,,,,,,maritime_0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_1,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_2,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_3,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_4,100.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_5,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_6,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_7,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_8,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_9,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_10,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_11,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_12,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_13,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_14,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_15,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_16,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_17,2.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_18,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_19,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_20,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_21,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_22,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_23,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_24,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_25,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_26,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_27,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_28,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_29,100.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_30,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_31,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_32,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_33,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_34,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_35,100.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_36,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_37,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_38,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_39,10.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_40,2.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_41,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_42,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_43,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_44,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_45,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_46,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_47,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_48,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_49,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_50,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_51,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_52,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_53,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_54,10.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_55,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_56,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_57,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_58,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_59,20.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_60,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_61,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_62,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_63,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_64,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_65,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_66,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_67,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_68,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_69,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_70,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_71,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_72,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_73,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_74,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_75,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_76,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_77,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_78,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_79,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_80,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_81,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_82,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_83,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_84,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_85,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_86,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_87,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_88,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_89,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_90,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_91,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_92,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_93,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_94,2.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_95,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_96,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_97,10.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_98,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_99,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
metadata,metadata,,,,,,,,,,,,,google/gemma-3-27b-it,maritime,6.0,43.0,response,positive,1.0,100.0
