metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,77.6,19.691114747520015,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,91.61,2.208596839624654,100.0,75.0,95.0,,,,,,,,,,,,,,,
,,,,,,,numerical_0,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_1,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_2,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_3,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_4,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_5,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_6,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_7,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_8,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_9,75.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_10,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_11,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_12,45.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_13,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_14,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_15,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_16,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_17,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_18,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_19,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_20,45.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_21,85.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_22,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_23,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_24,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_25,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_26,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_27,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_28,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_29,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_30,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_31,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_32,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_33,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_34,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_35,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_36,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_37,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_38,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_39,0.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_40,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_41,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_42,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_43,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_44,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_45,35.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_46,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_47,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_48,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_49,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_50,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_51,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_52,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_53,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_54,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_55,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_56,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_57,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_58,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_59,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_60,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_61,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_62,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_63,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_64,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_65,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_66,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_67,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_68,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_69,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_70,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_71,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_72,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_73,0.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_74,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_75,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_76,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_77,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_78,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_79,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_80,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_81,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_82,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_83,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_84,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_85,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_86,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_87,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_88,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_89,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_90,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_91,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_92,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_93,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_94,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_95,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_96,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_97,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_98,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,numerical_99,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
metadata,metadata,,,,,,,,,,,,,google/gemma-3-27b-it,numerical,3.0,28.0,response,positive,1.0,100.0
