metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,78.96,28.14637454451283,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,53.41,31.99252881533437,100.0,1.0,95.0,,,,,,,,,,,,,,,
,,,,,,,professional_0,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,professional_1,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_2,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,professional_3,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_4,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_5,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_6,75.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_7,75.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_8,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,professional_9,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_10,15.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_11,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_12,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_13,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,professional_14,65.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_15,92.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_16,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_17,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_18,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_19,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,professional_20,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_21,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_22,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,professional_23,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_24,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_25,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_26,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_27,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_28,95.0,0.0,1.0,82.0,0.0,1.0,,,,,,,,
,,,,,,,professional_29,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,professional_30,92.0,0.0,1.0,55.0,0.0,1.0,,,,,,,,
,,,,,,,professional_31,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,professional_32,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_33,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,professional_34,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_35,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_36,92.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,professional_37,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_38,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_39,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,professional_40,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_41,92.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,professional_42,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_43,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,professional_44,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_45,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,professional_46,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_47,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,professional_48,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_49,5.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_50,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_51,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_52,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_53,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_54,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_55,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_56,65.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,professional_57,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_58,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_59,92.0,0.0,1.0,55.0,0.0,1.0,,,,,,,,
,,,,,,,professional_60,25.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_61,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_62,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,professional_63,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_64,15.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,professional_65,92.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,professional_66,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_67,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_68,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,professional_69,65.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_70,15.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_71,75.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,professional_72,92.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,professional_73,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,professional_74,75.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,professional_75,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_76,92.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
