metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,relevance_raw_mean,relevance_raw_std,relevance_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,2.3189773178432307,10.498927653758988,100.0,0.0,88.36805207632658,,,,,,,,,,,,,,,,,,
coherence_raw,overall,93.76603278143224,3.0066715449555983,100.0,86.10615849707882,99.99959209947167,,,,,,,,,,,,,,,,,,
relevance_raw,overall,99.99794778386466,0.01445452707865488,100.0,99.87226312340299,99.99999999931735,,,,,,,,,,,,,,,,,,
,,,,,,,culinary_centric_0,2.870953124479198e-05,0.0,1.0,91.08554097041744,0.0,1.0,99.99999987255028,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_1,3.030939570891097e-12,0.0,1.0,95.14933326425655,0.0,1.0,99.99999999050794,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_2,2.27322934675673e-12,0.0,1.0,94.61234829994115,0.0,1.0,99.99999742470268,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_3,5.888147272895973e-12,0.0,1.0,95.02431571235311,0.0,1.0,99.99999998728684,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_4,5.9790917773040154e-12,0.0,1.0,97.82004704952303,0.0,1.0,99.99999999686084,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_5,2.0726124053817788e-06,0.0,1.0,94.60904111876741,0.0,1.0,99.99999998178731,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_6,7.681204685153634e-15,0.0,1.0,93.39050923336833,0.0,1.0,99.9999957254899,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_7,1.7255696931721807e-12,0.0,1.0,90.46949412695784,0.0,1.0,99.99920621869681,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_8,4.91624836226678e-06,0.0,1.0,95.0577437887835,0.0,1.0,99.9999999879541,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_9,2.551106093066432e-13,0.0,1.0,99.99501243768186,0.0,1.0,99.99999999916092,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_10,2.877326801390902e-10,0.0,1.0,95.08912451561001,0.0,1.0,99.99999994215213,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_11,4.001057143189209e-09,0.0,1.0,94.95424351449893,0.0,1.0,99.99999981061366,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_12,5.824395938942193e-12,0.0,1.0,88.27265846219403,0.0,1.0,99.99994872852993,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_13,9.657549701987437e-12,0.0,1.0,94.95664139486998,0.0,1.0,99.99999582208333,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_14,1.2565823078802016,0.0,1.0,93.87848453028211,0.0,1.0,99.99999992380668,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_15,1.3551487970375966e-11,0.0,1.0,94.92136430587772,0.0,1.0,99.99999990415654,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_16,4.040603728978071e-12,0.0,1.0,91.38847576266579,0.0,1.0,99.99999977556354,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_17,1.2817624739333744e-10,0.0,1.0,91.77630200381236,0.0,1.0,99.99999974778795,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_18,25.45116723412504,0.0,1.0,94.81003823979552,0.0,1.0,99.99999842738613,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_19,1.1784894686195908e-13,0.0,1.0,95.40306911636276,0.0,1.0,99.99999999931735,0.0,1.0,,,,,,,,
,,,,,,,culinary_centric_20,5.446173268594576e-12,0.0,1.0,94.85372962604683,0.0,1.0,99.99999998694605,0.0,1.0,,,,,,,,
